ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
-i5SDkNm;470;Administrative region;T'boli, South Cotabato, Philippines;6.14683,124.90655;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon.;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
ZDeSAEDd;470;Administrative region;Tupi, South Cotabato, Philippines;6.33849,124.97271;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
SMpcaFx5;470;Administrative region;Surallah, South Cotabato, Philippines;6.3195,124.75198;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
IeOBfSgR;470;Administrative region;Lake Sebu, South Cotabato, Philippines;6.24474,124.55284;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon.;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
AMUI7Lw_;470;Administrative region;Banga, South Cotabato, Philippines;6.38791,124.79617;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon.;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
bPjGkBgb;470;Administrative region;Sarangani, Philippines;5.92672,124.99475;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon.;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
10vsl7AQ;470;Administrative region;North Cotabato, Philippines;7.10833,125.03882;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon.;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
JgAhmC9T;470;Administrative region;Sultan Kudarat, Philippines;6.50694,124.41982;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon.;The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
aEm7fxrE;470;Administrative region;Davao del Sur, Philippines;6.76627,125.32843;Dole Philippines, Inc. (Dolefil) Pineapple and Banana Plantations;"The primary operations are located in the provinces of South Cotabato (specifically in the municipalities of Polomolok, T'boli, Tupi, Surallah, Lake Sebu, and Banga) and Sarangani, within the SOCCSKSARGEN region on the island of Mindanao, Philippines. The company has also been seeking expansion into North Cotabato, Sultan Kudarat, Davao del Sur, and Bukidnon.




";The main hub is around Polomolok, South Cotabato (Dolefil’s cannery and estate), and new plantation areas extend to nearby municipalities such as T’boli, Lake Sebu, Surallah, Banga (South Cotabato) and Columbio (Sultan Kudarat). These locations include both lowland and upland terrain on the island of Mindanao
UuEBndEN;724;Administrative region;Buenos Aires Province, Argentina;-37.20173,-59.84107;;;
m3B1vgMY;727;Coordinates;Malargüe, Mendoza Province, Argentina;-35.48446,-69.57975;;;Los establecimientos de la empresa en Mendoza son Campo el Álamo, Las Juntas, Los Molles, Las Leñas, Valle Hermoso, Los Amarillos, Agua del Toro, Río Colorado (sur de Mendoza). En estas propiedades están la laguna Niña Encantada, el Pozo de las Ánimas, el centro termal Los Molles, el Centro de Ski las Leñas, la Laguna de Valle Hermoso y otros espejos de agua cordilleranos.
XBYgadvF;727;Coordinates;Los Molles, Mendoza, Argentina;-35.16562,-69.93887;El Álamo;;Es uno de los campos de la empresa, tiene 150000 hectáreas. parte de estas hectáreas se encuentran arrendadas a pequeños productores
naHFfLmu;729;Coordinates;La Pampa Province, Argentina;-37.83148,-65.10498;;;Coordinates: -37.83148014503287, -65.10498046875
opX7pVPo;738;Coordinates;Gobierno Autonomo Municipal de San Pedro, Santisteban, San Pedro, Bolivia;-16.342274,-63.583285;;;
3MDktnmH;739;Administrative region;Chané, Bolivia;-17.00712,-63.22384;;;
in-dMpmM;744;Administrative region;San Pedro, Santa Cruz de la Sierra, Bolivia;-17.74708,-63.1817;;;"San Pedro, north of Santa Cruz
Coordinates: -14.867150772062557, -61.51622772216797"
ZJYW1pg9;747;Administrative region;Naviraí, Mato Grosso del Sur, Brasil;-23.06215,-54.20181;;;
7g6EEf81;774;Administrative region;Estado de Paraná, Brasil;-25.25209,-52.02154;;;Parana and Sao Paulo.
Q11q5tsM;775;Coordinates;Baixa Grande do Ribeiro, Piauí, Brasil;-8.19683,-45.31959;Fazenda Cremaq;;
NjQX963-;779;Coordinates;Ivinhema - Mato Grosso do Sul, Brazil;-22.3822,-53.89542;;;"Usina Ivinhema -22.382201, -53.895418
Usina Angelica -22.039654318209784, -53.84371344205901"
JDOiOMKU;794;Administrative region;Ovalle, Ovalle, Coquimbo Region, Chile;-30.6043,-71.19699;;;
iz7X_Vz8;795;Administrative region;Maule Region, Chile;-35.51636,-71.5724;;;
_kuMi746;840;Coordinates;Sayaxché, Guatemala;16.22284,-90.36154;;;Tierra Blanca
x2wRwEJc;840;Coordinates;Ixcán, Guatemala;15.99394,-90.46837;;;
p7fbUZKC;843;Coordinates;Alta Verapaz Department, Guatemala;15.36066,-89.69258;;;Valle Polochic: Panzos, Alta Verapaz, El Estor, Mariscos
Z8bZHcsz;844;Coordinates;Morales, Guatemala;15.58221,-88.59405;;This is the location of one of the company's farm, Finca Dublin.;" (Izabal), Puerto Barrios y Morales 
Coordinates: 15.4204597488621, -88.7514801134764"
WEFth2gB;869;Coordinates;Boquerón, Paraguay;-21.74491,-60.954;Estancia Jerovia- Cresca S.A.;;Located in Mariscal José Felix Estigarribia, District of Boquerón, Chaco Paraguayo, Republic of Paraguay.
Lk7YE_YP;877;Coordinates;Caazapa, Paraguay;-26.04361,-56.3;La Milagrosa Farm;;"26°2""37' S
56°18""0' W"
eagaTjdc;933;Administrative region;Durazno, Uruguay;-33.07845,-56.025;;;
NR5FoaVv;934;Administrative region;Cerro Largo, Uruguay;-32.20248,-54.25931;;;
N1lEjcRI;937;Coordinates;Durazno, Uruguay;-33.06031,-56.08536;Estancia La pecuaria;;
Eq68VVOr;962;Administrative region;Mažeikiai, Lithuania;56.30924,22.34147;;;
i47mvA83;962;Administrative region;Raseiniai, Lithuania;55.38195,23.11561;;;
9DGF9vw-;962;Administrative region;Paūliai, Lithuania;54.16206,24.3568;;;
9FMt3dlA;981;Administrative region;Tormac, Romania;45.52294,21.49209;;;2km from the village Sipet
WQ1LiJYd;981;Exact location;Măureni 327265, Romania;45.40727,21.50384;Tormac;;
if23Vax0;1003;Administrative region;Мордово, Тамбовская обл., Росія;52.08984,40.78809;;;In the Mordovian region, the company has 15100 ha of arable land
AWJrHYva;1003;Administrative region;Петровский р-н, Тамбовская обл., Росія;52.59123,40.30944;;;In the Petrovsky region, the company has 5000 ha of arable land
uGCRVupp;1003;Administrative region;Знаменский р-н, Тамбовская обл., Росія;52.42238,41.33012;;;in the Znamensky region, the company has 300 ha of arable land
ymnXogYb;1004;Administrative region;Tambov, Tambov Oblast, Russia;52.73359,41.29577;;;Tambov
qjL4pODh;1004;Administrative region;Петровский р-н, Тамбовская обл., Росія;52.59123,40.30944;;;
RRpObFNn;1004;Administrative region;Мордовский район, Tambov Oblast, Russia;52.13081,40.79289;;;
cGlZogwV;1004;Administrative region;Знаменский район, Tambov Oblast, Russia;52.42238,41.33012;;;
qoILrjmw;1005;Administrative region;Конишевський район, Курська область, Росія;51.92143,35.34351;;;Kursk
XkdkrOCd;1005;Administrative region;Дмитрієвський район, Курська область, Росія;52.14984,34.95807;;;The operating company controls approximately 640 ha of land in this region
_drMsE-A;1005;Administrative region;Хомутовський район, Курська область, Росія;51.84925,34.70519;;;
qmdwP1ca;1006;Administrative region;Kurgan, Kurgan Oblast, Russia;55.45,65.33333;;;Kurgan
qkZG7DUx;1011;Administrative region;Voronezh, Voronezh Oblast, Russia;51.6755,39.20888;;;
Zw3l845i;1011;Administrative region;Oryol, Oryol Oblast, Russia;52.96685,36.06249;;;
c0XbfAR5;1011;Administrative region;Rostov-on-Don, Rostov Oblast, Russia;47.21667,39.7;;;
Q_rRwa8Q;1011;Administrative region;Penza, Penza Oblast, Russia;53.2,45.01667;;;
5MU5qBW9;1011;Administrative region;Kursk, Kursk Oblast, Russia;51.7092,36.15622;;;
xVT3CvKn;1011;Approximate location;Ольховатка, Воронезька область, Росія;50.27692,39.30292;;;
U6rgsphC;1011;Approximate location;Россошанский район, Воронезька область, Росія;50.13009,39.73601;;;
Nb3M9J66;1014;Approximate location;Новодевица, Приморский край, Росія, 692275;44.49326,132.19078;;;near vladivostok
qEzKGFhg;1017;Administrative region;Чишминський район, Башкортостан, Росія;54.59494,55.39016;;For 2018: 25 383 ha in the Chishminsky distric;
3iBSG1ki;1017;Administrative region;Благоварський район, Башкортостан, Росія;54.6909,55.01575;;For 2018: 49 262 ha in Blagovarsky district;
KxoMdyz-;1017;Administrative region;Буздяцький район, Башкортостан, Росія;54.64203,54.52375;;For 2018: 21 969 ha in Buzdyaksky district;
J441ihlg;1019;Coordinates;Okea, Nguvia, Solomon Islands;-9.4574,160.127;Okea Division;;Georeferenced Map 1 in Data Source 13 to extract the contract area, with the boundaries refined using the location map provided in Figure 3 of Data Source 12.
3MxcIUUp;1019;Coordinates;Ngalimbiu River, Solomon Islands;-9.4722,160.1588;Ngalimbiu Division;;Georeferenced Map 1 in Data Source 13 to extract the contract area, with the boundaries refined using the location map provided in Figure 3 of Data Source 12.
o-AU-0G9;1019;Coordinates;Tetere, Solomon Islands;-9.4431,160.2191;Tetere Division 1;;Georeferenced Map 1 in Data Source 13 to extract the contract area, with the boundaries refined using the location map provided in Figure 3 of Data Source 12.
eFOByCkc;1019;Coordinates;Tetere, Solomon Islands;-9.4905,160.1952;Tetere Division 2;;Georeferenced Map 1 in Data Source 13 to extract the contract area, with the boundaries refined using the location map provided in Figure 3 of Data Source 12.
N7umvZy9;1019;Exact location;Mbalisuna Plantation, Karoururu, Solomon Islands;-9.47747,160.25577;Mbalisuna Division;;Georeferenced Map 1 in Data Source 13 to extract the contract area, with the boundaries refined using the location map provided in Figure 3 of Data Source 12.
o0KtdYUZ;1019;Coordinates;Tetere, Solomon Islands;-9.46821,160.21223;Binu Outgrower;;Georeferenced Map 1 in Data Source 13 to extract the contract area, with the boundaries refined using the location map provided in Figure 3 of Data Source 12, which also displays smaller blocks of lots allocated for the outgrowing of palm.
UXuItPq5;1021;Administrative region;Commewijne, Suriname;5.74021,-54.87312;;;
4f2BI5ea;1037;Exact location;Zhdanivka, Vinnyts'ka oblast, Ukraine, 22050;49.61973,27.89723;;;This is the location of one of the sugar processsing facilities. It is indicated that the company leases 18 thousand hectares of land in this region. 
6taxVhTW;1037;Exact location;Yares'ky, Poltavs'ka oblast, Ukraine, 38030;49.83546,33.91284;;;This is the location of one of the sugar processsing facilities. The company leases 130 thousand hectares of land in this region.
ykEaV0it;1037;Administrative region;Хмельницкая область, Украина;49.42298,26.98713;;;The company leases 43 thousand hectares of land in this region.
rTUJEg00;1037;Administrative region;Харківська область, Украина;49.9935,36.23038;;;It is indicated that the company leases 4 thousand hectares of land in this region.
cV09htMy;1037;Administrative region;Тернопільська область, Украина;49.55352,25.59477;;;It is specified that the company leases 7 thousand hectares of land in this region.
nQyKh764;1037;Administrative region;Чернігівська область, Украина;51.4982,31.28935;;;It is indicated that the company leases 4 thousand hectares of land in this region.
xs6zEWQ3;1037;Administrative region;Житомирська область, Украина;50.25465,28.65867;;;The company leases 12 thousand hectares of land in this region.
eu-mX868;1038;Administrative region;Kirovohrad, Kirovohrads'ka oblast, Ukraine;48.50793,32.26232;;;
wqPZTB7M;1038;Administrative region;Mykolaiv, Mykolaivs'ka oblast, Ukraine;46.97503,31.99458;;;
282RGtw9;1038;Administrative region;Chernihiv, Chernihivs'ka oblast, Ukraine;51.4982,31.28935;;;
FwWmg6VV;1038;Administrative region;Одеська область, Україна;46.48458,30.7326;;;
P9e-B3JY;1047;Administrative region;Rivne, Rivnens'ka oblast, Ukraine;50.6199,26.25162;;;
yivzN2H6;1047;Administrative region;Zhytomyr, Zhytomyrs'ka oblast, Ukraine;50.25465,28.65867;;;
jY9YIUjk;1047;Administrative region;Bilyi Kamin', Lviv Oblast, Ukraine, 80710;49.89623,24.85064;;;
oy6Gfdsy;1047;Administrative region;Saranchuky, Ternopil's'ka oblast, Ukraine, 47533;49.35132,24.98864;;;
2tS2JiD1;1047;Administrative region;Voshchantsi, Lviv Oblast, Ukraine, 81432;49.67209,23.39996;;;
HB7ubZR2;1047;Administrative region;Zhovkva, Lviv Oblast, Ukraine, 80300;50.05888,23.97365;;;
WhKdBQal;1047;Administrative region;Drohobych, Lviv Oblast, Ukraine;49.35801,23.51232;;;
lw_4Sasi;1047;Administrative region;Rohatyn, Ivano-Frankivs'ka oblast, Ukraine, 77000;49.40994,24.6106;;;
vDI1ywmq;1047;Approximate location;Красне, Львівська область, Україна;49.91974,24.6179;;;
E7he1XUI;1047;Approximate location;Добросин, Львівська область, Україна;50.13385,23.84846;;;
nbNqlI5h;1047;Approximate location;Туринка, Львівська область, Україна;50.12379,24.06279;;;
3l5gJYyc;1047;Approximate location;Сихів, Львівська область, Україна;49.21386,24.03603;;;
5tDh2g3s;1047;Approximate location;Вороблевичі, Львівська область, Україна;49.4158,23.64029;;;
bRXEATkN;1047;Approximate location;Долобів, Львівська область, Україна;49.60459,23.43827;;;
7NPwCvjr;1047;Approximate location;Лісновичі, Львівська область, Україна;49.86688,23.56305;;;
AIZX8Fjm;1047;Approximate location;Вощанці, Львівська область, Україна;49.67209,23.39996;;;
gSnpeIre;1047;Approximate location;Жуків, Львівська область, Україна;49.71329,24.7991;;;
-o9Vcp3P;1047;Approximate location;Бужок, Львівська область, Україна;49.89519,24.82229;;;
mcGhp_85;1047;Approximate location;Саранчуки, Тернопільська область, Україна;49.35131,24.98864;;;
6vuqJZc6;1051;Administrative region;Khmelnytskyi, Khmel'nyts'ka oblast, Ukraine;49.42298,26.98713;;;
MnYe90Jy;1051;Administrative region;Chernivtsi, Chernivets'ka oblast, Ukraine;48.29168,25.93522;;;
Ox8vftwN;1051;Administrative region;Ivano-Frankivsk, Ivano-Frankivs'ka oblast, Ukraine;48.92263,24.71112;;;
c8NbpZHI;1051;Administrative region;Lviv, Lviv Oblast, Ukraine;49.83968,24.02972;;;
Lcq7v81b;1051;Administrative region;Zhytomyr, Zhytomyrs'ka oblast, Ukraine;50.25465,28.65867;;;
Roo95VVa;1051;Administrative region;Rivne, Rivnens'ka oblast, Ukraine;50.6199,26.25162;;;
bbB1s1-R;1051;Approximate location;Хоростків, Тернопольская область, Украина;49.20308,25.90347;;;
4AW0CEF_;1051;Approximate location;Козова, Тернопольская область, Украина;49.43057,25.15808;;;
KT8ua8TH;1051;Approximate location;Борщів, Тернопольская область, Украина;48.80061,26.04889;;;
vmU-kO_B;1051;Approximate location;Деренівка, Тернопольская область, Украина;49.23504,25.75299;;;
-nDy-JeD;1051;Approximate location;Батятичі, Львовская область, Украина;50.10944,24.27607;;;
plr13VX7;1063;Administrative region;Corrientes, Corrientes Province, Argentina;-29.21113,-58.53102;Estancia oscuro;;Este es uno de los tres establecimientos de la empresa en la provincia
2M0McuDn;1063;Administrative region;;-29.20405,-58.04983;Molino mercedes;;Este es uno de los tres establecimientos de la empresa en la provincia
4DX1K7nZ;1063;Administrative region;;-29.28994,-57.72979;Estancia Ita caabó;;Este es uno de los tres establecimientos de la empresa en la provincia.
rRXtfUM_;1064;Exact location;San Javier, Santa Fe Province, Argentina;-30.73579,-60.01268;;;"Santa Fé, San Javier. Estancia San Joaquín de Pilagá
Coordinates: -30.7357887748924, -60.012682

Spatial data derived from the Mapathon 2020."
zzE5sHNo;1065;Coordinates;Santiago del Estero, Bandera, Santiago del Estero, Argentina;-29.06084,-62.50624;Estancia Santa Lucía;;"Santiago del Estero, Zona de Bandera. Estancia Santa Lucía
Coordinates: -29.060837, -62.506245"
2RxHsbXy;1066;Coordinates;Las Lajitas, Salta Province, Argentina;-24.82907,-64.21049;Los guayacanes;;"Salta, Las Latijas. Los Guayacanes
Coordinates: -24.829073, -64.210492"
NXSYJDW3;1067;Coordinates;Los Juríes, Santiago del Estero Province, Argentina;-28.36367,-62.19707;La Guarida;;
NB1n5ZzD;1098;Coordinates;Cacuso, Angola;-9.63403,15.84814;Companhia de Bioenergia de Angola - Biocom;Biocom is located in the Capanda Agro- Industrial complex (PAC), in the city of Cacuso, Malanje Province.;"located at the Capanda Agro-Industrial Complex, in Cacuso, Malanje province
Shapefile uploaded from Google Earth Pro"
HH_9Na7_;1113;Coordinates;Save, Benin;8.07357,2.40067; Sucrerie de Complant du Bénin (SUCOBE);SUCOBE is located in the suburbs of the city of Savè in the Collines department, about 260 km from the capital Cotonou.;Polygon drawn from Google Earth Pro
w9kA8ibX;1141;Coordinates;Nkoteng, Cameroon;4.43657,12.06334;;;Haute-Sanaga Region- Simbane village,  in the district of Lembe-Yezoum at a place called Messassa, Mvan Village, Ouassa village, Ebometende village and Elap Village.
9Xcy0iPb;1141;Coordinates;M'Bandjock, Cameroon;4.433,11.98416;;;Haute-Sanaga Region- the Biboto and Ndo village.
DVpoNSG0;1165;Coordinates;Etoumbi, Congo;-0.031936,14.983271;;;"Located in Etoumbi, Congo
Sangha plantation in Cuvette-Ouest district-- 100ha."
godcX0--;1165;Coordinates;Owando, Congo;-0.529504,15.954885;;;RNPC land in the Cuvette district- 500ha.
5sNWaHG7;1165;Coordinates;Rue MAKOLA, Brazzaville, Congo;1.45241,15.734328;;;Located in District Mokeko. The company has a 40,000 ha concession.
bVO5Mu0g;1167;Coordinates;Niari, Congo;-3.74389,12.50472;;;"Nyari Vallée as additional location
exact coordonates (-3.743889, 12.504722). 180 kilometres from the port of Pointe-Noire.
Niari, Congo"
lJkW5fIs;1172;Coordinates;Toshka, Aswan Governorate, Egypt;22.69512,31.28081;Al Dahra Agriculture;The farm is located in Toshka;uploaded shapefile polygon
njzgf0xG;1175;Coordinates;Dishna, Madinet Dishna, Dishna, Egypt;26.04005,32.49486;;The farm is located El-Marashda desert that lies in Qena province in southern Egypt across the banks of the Nile river;"Located in Dishna, Madinet Dishna, Egypt.
Uploaded shapefile polygon uploaded"
UpqQo66D;1181;Coordinates;Toshka, Aswan, Egypt;23.1969,31.57497;;;Uploaded shapefile polygon
QIl9dn3o;1215;Administrative region;Anno, Ethiopia;6.87406,38.39235;;;Located in Anno, Ethiopia.
4wct9DSA;1218;Exact location;Bandira, Ethiopia;8.91667,36.58333;;The farm is located in Gambella Regional State, Agnuwa Zone, Dima District, Bandira KAbele;Bandira kebele, Dima District, Gambela Regional state
sPmn1a7f;1230;Coordinates;Omorate, Ethiopia;4.81389,36.07876;Fri-El Ethiopia Farming & Processing PLC  ;The project is located in the SNNP region at West Omo Zone at Dasenech Woreda. The farm is situated along the River side of Omo at about 870 km away from Addis Ababa, 370 km away from Arba Minch (North Omo Zone) & 210 km from Jink(South Omo Zone).;"South of Hana, close to the Kenyan border, I find Omorate, a big, dry village on the banks of the Omo River.Dasenech woreda, South Omo Region.

Polygon has been drawn from Google Earth Pro"
Ogq-j86Y;1233;Coordinates;Oromia Region, Illubabore Zone;8.14783,35.49063;Gumaro Tea Plantation;Gumaro plantation- 637 km South West of Addis Ababa;"located in Oromia Region, Illubabor zone.
Shapefile derived from Google Earth Pro"
FjOkqNWL;1241;Administrative region;Bench Maji, Ethiopia;6.63151,35.56579;;;Mezenger, Metekel, and Bench-Maji zones of the Gambella, Benishangul-Gumuz, and South Ethiopia Peoples' States respectively
ZEb0JiwT;1241;Administrative region;Benishangul-Gumuz, Ethiopia;10.78029,35.56579;;;
uHcD94yt;1241;Administrative region;Metekel, Ethiopia;10.78029,35.56579;;;
