ID;Deal ID;Data source type;URL;File;Publication title;Date;Name;Organisation;Email;Phone;Open Contracting ID;Comment on data source
hb_kUQBN;39;Media report;https://news.mongabay.com/2021/04/what-other-country-would-do-this-to-its-people-cambodian-land-grab-victims-seek-intl-justice/;uploads/‘What other country would do this to its people_’ Cambodian land grab victims seek int’l justice.pdf;‘What other country would do this to its people?’ Cambodian land grab victims seek int’l justice;2021-04-01;Gerald Flynn, Phoung Vantha;Asia Forest Trackers - MongaBay;;;;"The International Federation for Human Rights (FIDH) in 2014 estimated that at least 770,000 people had been affected by land grabs that cover some 4 million hectares of land

"
SfWZhFvx;39;Crowdsourcing;https://data.opendevelopmentcambodia.net/laws_record/sub-decree-no-536-on-cutting-and-reclassifying-62146-hectares-of-elc-in-kampong-speu-province/resource/d09e6dd3-7d51-42a8-8f4e-6b9bc9d23955;uploads/subdecreeno53625.11.2013.pdf;Sub-decree No. 536 on Cutting and Reclassifying 621.46 hectares of ELC in Kampong Speu province;2013-11-25;;;;;;Source is in Khem Language.
ij4S_niy;67;Government sources;http://www.opendevelopmentcambodia.net/references/Koh_Kong_Plantation_Company__21.06.2011.pdf;uploads/opendevelopmentcambodianetreferenceskoh_kong_plantation_company__21062011pdf.pdf;Profile - Koh Kong Plantation Company Limited;2011-06-21;;Ministry of Agriculture, Forestry and Fisheries for Food Security and Sustainable Development;;;;URL does not work as of 31/07/2025
hgUxPh2H;67;Government sources;http://www.cambodiainvestment.gov.kh/koh-kong-province.html;uploads/cambodiainvestmentgovkhkoh-kong-provincehtml.pdf;Koh Kong Province;2015;;Council for the Development of Cambodia;info@cambodiainvestment.gov.kh;(855) 23 427 597;;"Accessed:  07/04/2015
URL does not work as of 31/07/2025"
OSKdX3Sj;67;Media report;http://www.business-humanrights.org/Categories/Lawlawsuits/Lawsuitsregulatoryaction/LawsuitsSelectedcases/TateLylelawsuitreCambodia;uploads/business-humanrightsorgcategorieslawlawsuitslawsuitsregulatoryactionlawsuitsselectedcasestatelylelawsuitrecambodia.pdf;Case profile: Koh Kong sugar plantation lawsuits (reCambodia);2014-06-19;;Business & Human Rights Resource Centre;contact@business-humanrights.org;+1 (212) 564 9160;;"Accessed: 19:06:2014
URL does not work as of 31/07/2025"
I8RAj0ek;67;Media report;http://www.boycottbloodsugar.net/the-concessions-2/koh-kong/;uploads/boycottbloodsugarnetthe-concessions-2koh-kong.pdf;Koh Kong;;Clean Sugar Campaign;;;;;"Accessed: 19/06/2014
URL does not work as of 31/07/2025"
qnZdF-tB;67;Company sources;http://www.kslsugar.com/contents/files/annualreport/annualreport-en-08022012-143158-469949.pdf;uploads/kslsugarcomcontentsfilesannualreportannualreport-en-08022012-143158-469949pdf.pdf;General Information of Company;2010-12-31;;KHON KAEN SUGAR INDUSTRY PUBLIC COMPANY LIMITED;;+66 2 6426 191-9 ;;URL does not work as of 31/07/2025
Q_0NYOsj;67;Media report;http://www.humanrights.asia/news/urgent-appeals/UP-017-2007;uploads/humanrightsasianewsurgent-appealsup-017-2007.pdf;UPDATE (Cambodia): Killing of a villager working against illegal land concession by a tycoon senator;2007-02-08;;Asian Human Rights Commission;info@ahrc.asia;+(852) 2698 6339;;
jxupwtuR;67;Media report;http://terra0nullius.wordpress.com/resources/2012-resources/2012-07-cambodia-ngo-statement-on-koh-kong-trial/;uploads/terra0nulliuswordpresscomresources2012-resources2012-07-cambodia-ngo-statement-on-koh-kong-trial.pdf;Cambodia NGO statement on KohKong trial;2012-07;;Cambodian League for the Promotion and Defense of Human Rights - Posted in TerraNulius;;066 33 23 33;;
nlZjTvHH;67;Company sources;http://www.kslsugar.com/contents/files/annualreport/annualreport-en-20022014-083109-89430.pdf;uploads/kslsugarcomcontentsfilesannualreportannualreport-en-20022014-083109-89430pdf.pdf;Khon Kaen Sugar Public Company Limited - Annual Report 2013;2013-12-31;;KSL Group;;+66 2 6426 191-9 ;;URL does not work as of 31/07/2025
Oau7FxCk;67;Media report;https://www.cambodiadaily.com/news/evictees-sign-payout-deal-they-cant-read-without-lawyers-70997/;uploads/scambodiadailycomnewsevictees-sign-payout-deal-they-cant-read-without-lawyers-70997.pdf;Evictees Sign Payout Deal They Can’t Read;2014-10-27;AUN PHEAP AND ZSOMBOR PETER;The Cambodia Daily;pheap@cambodiadaily.com;;;URL does not work as of 31/07/2025
5CnerS_7;67;Crowdsourcing;https://ejatlas.org/conflict/land-grabbing-and-forced-evictions-by-koh-kongs-sugar-industry-cambodia;uploads/sejatlasorgconflictland-grabbing-and-forced-evictions-by-koh-kongs-sugar-industry-cambodia.pdf;Land Grabbing and forced evictions by Koh Kong's sugar industry, Cambodia;2015-02-17;;Global Atlas of Environmental Justice;ejoltmap@gmail.com;;;Online database
6bnxO1tu;67;Media report;https://www.business-humanrights.org/en/latest-news/koh-kong-sugar-plantation-lawsuits-re-cambodia/;uploads/koh-kong-sugar-plantation-lawsuits-re-cambodia-business-human-rights-resource-centre.pdf;Koh Kong sugar plantation lawsuits (re Cambodia);2013-03-01;;Business & Human Rights Resource Centre;contact@business-humanrights.org;;;
t_6lvsGI;67;Company sources;https://www.kohkongsugar.com/en/about-us;uploads/about-us-kohkongsugar.pdf;About Us;;;KSI KPT;;;;URL does not work as of 31/07/2025
AjgYcxAA;67;Research Paper / Policy Report;https://earthrights.org/case/koh-kong-sugar-plantation/#documentsff69-1a905f26-f4b6;uploads/koh-kong-sugar-plantation-earthrights-international.pdf;Koh Kong Sugar Plantation A violent land grab on a Cambodian Sugar Plantation;2015;;EarthRights International;infoasia@earthrights.org;;;
7gpsP7Vk;67;Research Paper / Policy Report;https://themekongbutterfly.com/2017/12/20/from-tears-to-sugar-economic-land-concession-project-of-koh-kong-a-case-of-sugarcane-plantation-and-sugar-factory-by-khon-kaen-sugar-industry-public-company-limited-ksl/;uploads/from-tears-to-sugar-economic-land-concession-project-of-koh-kong-a-case-of-sugarcane-plantation-and-sugar-factory-by-khon-kaen-sugar-industry-public-company-limited-ksl.pdf;Economic Land Concession Project of Koh Kong: a case of sugarcane plantation and sugar factory by Khon Kaen Sugar Industry Public Company Limited (KSL);2017-12-20;;The Mekong Butterfly;;;;
I1t7Ekp8;67;Media report;https://www.inclusivedevelopment.net/cambodia/cambodian-communities-reach-settlement-with-sugar-industry-actors-after-decade-long-campaign-for-redress/;uploads/Cambodian communities reach settlement with sugar industry actors after decade-long campaign for redress - Inclusive Development International.pdf;Two hundred Cambodian families whose land was forcibly seized to make way for a sugar plantation in Cambodia’s Koh Kong province have reached a financial settlement with key sugar industry supply chain actors.;2023-05-30;;Inclusive Development International;info@inclusivedevelopment.net;+1 (828) 505-4340;;
FMtLMLfg;100;Research Paper / Policy Report;https://www.oicrf.org/-/what-shall-we-do-without-our-land-land-grabs-and-resistance-in-rural-cambodia;uploads/issnlfileadminassetsissdocumentsconference_papersldpi49_alison_schneiderpdf.pdf;What shall we do without our land? Land Grabs and Resistance in Rural Cambodia;2011-01-01;;;;;;What shall we do without our land? Land Grabs and Resistance in Rural Cambodia By Alison Elizabeth Schneider
hXO_tOHj;100;Company sources;https://www.hlhcambodia.com/main/HLHA%20(Agriculture)/3;uploads/HLH Group of Companies.pdf;HLHA (Agriculture);2014;;;;;;Old link unavailable: http://www.hlh.com.sg/Agriculture_Plantation.asp and old pdf had no information, replaced with updated link an pdf
VvXHYbPN;100;Research Paper / Policy Report;http://www.fao.org/fileadmin/templates/est/INTERNATIONAL-TRADE/FDIs/Saing_Cambodia.pdf;uploads/faoorgfileadmintemplatesestinternational-tradefdissaing_cambodiapdf.pdf;FOREIGN INVESTMENT IN AGRICULTURE IN CAMBODIA;2011-11-29;;;;;;
4DcgeEpm;100;Company sources;https://www.hlhcambodia.com/en/;uploads/hlhcomsg.pdf;HLH Group Limited;2014;;;;;;Accessed: 03:07:2014
2rGTIt4x;100;Media report;http://wildsingaporenews.blogspot.de/2009/08/singapore-agri-business-company-hlh.html#.U7VUpLGNHK0;uploads/wildsingaporenewsblogspotde200908singapore-agri-business-company-hlhhtmlu7vuplgnhk0.pdf;Singapore agri-business company HLH harvests corn crop in Cambodia;2009-08-26;;;;;;
Ese6Wrd3;100;Media report;http://www.phnompenhpost.com/business/leading-edge-red-corn-food-secure-future;uploads/phnompenhpostcombusinessleading-edge-red-corn-food-secure-future.pdf;Leading edge: Red corn for a food-secure future`;2010-09-07;;;;;;
DYQUPu-z;100;Government sources;http://www.moc.gov.kh/Company/Detail.aspx?MenuID=18&NoticeID=1&ID=15855;uploads/mocgovkhcompanydetailaspxmenuid18noticeid1id15855.pdf;;;;;;;;Accessed: 03:07:2014
tWFq-Pdk;100;Company sources;http://www.hlh.com.sg/images/from%20start%20to%20end2.pdf;uploads/hlhcomsgimagesfrom20start20to20end2pdf.pdf;;;;;;;;
etFhmSJj;100;Research Paper / Policy Report;http://www.fao.org/fileadmin/templates/tci/pdf/InternationalInvestment/Cambodia/CambodiaFINAL_CDRI-FAO_-_FDI_in_agriculture_revise_08-08-2011_final_4_Sue_hang_fao_June-2012.pdf;uploads/faoorgfileadmintemplatestcipdfinternationalinvestmentcambodiacambodiafinal_cdri-fao_-_fdi_in_agriculture_revise_08-08-2011_final_4_sue_hang_fao_june-2012pdf.pdf;Foreign Investment in Agriculture in Cambodia;2012-06-01;;;;;;
hl4J-ROV;100;Company sources;http://www.finanznachrichten.de/pdf/20131226_201332_H27_218FEF9E03C7E5F248257C4D00373237.1.pdf;uploads/finanznachrichtendepdf20131226_201332_h27_218fef9e03c7e5f248257c4d003732371pdf.pdf;JOINT OPERATIONS AGREEMENT IN RELATION TO THE GROUP’S PLANTATION LAND SITUATED IN THE AORAL DISTRICT, KAMPONG SPEU PROVINCE, CAMBODIA;2013-12-26;;;;;;Link unavailable as of August 2025
2EAJpLxi;100;Government sources;http://www.cambodiainvestment.gov.kh/content/uploads/2014/03/Kampong-Speu-Province_eng.pdf;uploads/cambodiainvestmentgovkhcontentuploads201403kampong-speu-province_engpdf.pdf;;2014-01-01;;;;;;Link unavailable as of August 2025
SaBiSSNd;100;Research Paper / Policy Report;https://efi.int/sites/default/files/files/flegtredd/flegt/Understanding%20timber%20flows%20and%20control%20in%20Cambodia%20in%20the%20context%20of%20FLEGTc.pdf;uploads/19-understanding-timber-flows-and-control-in-cambodia-english.pdf;Understanding timber flows and control in Cambodia in the context of FLEGT ;2014-03-01;;;;;;
Yj9Whes0;100;Research Paper / Policy Report;https://aippnet.org/wp-content/uploads/2020/02/20.-Threatned-Lands-Threatene-Lives.pdf;uploads/threatened-lands-threatened-lives.pdf;Threatened Lands, Threatened Lives: Human Rights Situation of the Indigenous Peoples in Cambodia;2014-08-07;;;;;;01:08:2014
0NB29SGq;100;Contract;http://www.openlandcontracts.org/contract/ocds-591adf-7601069161/view#/pdf;uploads/2724-hlh-agriculture-cambodia-co-ltd-summary-concession-2009.pdf;HLH Agriculture (Cambodia) Co. Ltd., Summary, Concession, 2009;2009;;;;;ocds-591adf-7601069161;
v8mDZVIF;100;Government sources;https://data.opendevelopmentcambodia.net/agreement/environmental-and-social-impact-assessment-agro-industry-project-in-kampong-speu-province-cambodia/resource/2ca96d28-23ec-4cab-8b53-97f9f6602304;uploads/4.-project-description-4.pdf;4. Project description;;;;;;;The document is in Khmer on overall project including location, master plan, etc.
0WEDTAiZ;100;Media report;https://www.phnompenhpost.com/business/singapore-invested-100sq-km-agriculture-hub-launched-northern-kampong-speu?utm_source=chatgpt.com;uploads/PPP_HLH.pdf;Singapore-invested 100sq km agriculture hub launched in northern Kampong Speu;2022-02-20;;;;;;HLH is a subsidiary company of Hong Lai Huat Group Ltd.
UwZhTrP1;100;Government sources;https://opendevelopmentcambodia.net/profiles/economic-land-concessions/?feature_id=elc_gdc_162;uploads/Economic land concessions- HLH Agriculture Cambodia Co. Ltd..pdf;Economic land concessions: HLH Agriculture Cambodia Co. Ltd.;2016;;;;;;The document regarding the impact on the community/indigenous. 
pPebgJlS;182;Company sources;https://web.archive.org/web/20131213192110/http://www.simedarbyplantation.com/Sime_Darby_Plantation_in_Indonesia.aspx;uploads/web_T7na65b.archive.org--2.pdf;Sime_Darby_Plantation_in_Indonesia;2013-10-30;;;;;;Accessed by August 2021: Data source is unavailable. Page not found prompt is seen when accessing the website.
-qVktjNg;182;Company sources;http://www.simedarbyplantation.com/Downstream_Overview.aspx;uploads/simedarbyplantationcomdownstream_overviewaspx.pdf;;2013-10-30;;;;;;Accessed by August 2021: Data source is unavailable. Page not found prompt is seen when accessing the website.
qdGMWX8I;182;Media report;https://www.nst.com.my/business/2020/07/607961/sdp-develops-guidelines-continue-implementing-dmca;uploads/3-sdp-develops-guidelines-to-continue-implementing-dmca.pdf;SDP develops guidelines to continue implementing DMCA;2020-07-12;;;;;;"Sime Darby Plantation Bhd's (SDP) Indonesian subsidiary, Minamas Plantation (Minamas) has developed a guideline to continue implementing the Sustainable Community-based Fire Prevention or Desa Mandiri Cegah Api (DMCA) programme.

The oil palm plantation company said the DMCA, which was scheduled to be rolled out in March earlier, had proved to be challenging due to the movement restriction and social distancing protocols, resulted from the ongoing Covid-19 pandemic.

SDP said the setback has triggered the urgency for Minamas and its university partner, Universitas Tanjungpura to work together in developing the guideline."
PZuQP-cs;182;Company sources;http://www.simedarby.com/downloads/pdfs/SDB/Annual_Report/Sime_Darby_AR2012_Lowres.pdf;uploads/simedarbycomdownloadspdfssdbannual_reportsime_darby_ar2012_lowrespdf.pdf;;2012-12-31;;;;;;Accessed by August 2021: Data source is unavailable. Page not found prompt is seen when accessing the website.
BR1HTMid;182;Company sources;http://www.simedarby.com/downloads/pdfs/SDB/Annual_Report/Sime_Darby_AR2014_Lowres.pdf;uploads/simedarbycomdownloadspdfssdbannual_reportsime_darby_ar2014_lowrespdf.pdf;;2014-12-01;;;;;;Accessed by August 2021: Data source is unavailable. Page not found prompt is seen when accessing the website.
LGLrGZYB;182;Company sources;http://www.simedarbyplantation.com/our-businesses/upstream/indonesia;uploads/1-indonesia-_-sime-darby-plantation.pdf;;;;;;;;"Sime Darby Plantation’s operations in Indonesia is represented by our subsidiary Minamas Plantation, headquartered in Jakarta. Minamas has a presence in eight provinces with a total landbank of 256,247 ha, with oil palm planted area of 193,331 ha, of which about 82% is mature.

In Indonesia we own and operate 65 oil palm estates and 22 mills located in Sumatera, Kalimantan and Sulawesi."
sL186Gdu;182;Media report;https://jakartaglobe.id/context/palm-oil-still-gold-standard-minamas/;uploads/2-palm-oil-still-the-gold-standard_-minamas.pdf;Palm Oil Still the Gold Standard: Minamas;2016-07-02;;;;;;"Palm oil company Minamas Plantation, a local arm of Malaysia's conglomerate Sime Darby, said it is confident demand for palm oil will remain robust in the coming years, as populous countries like India and Pakistan as well as developed countries in Europe still have not found a cheaper alternative for cooking oil.

“Compared to other cooking oils like soybean, vegetable or sunflower, palm oil is still more efficient,” said Roslin Azmy Hassan, Minamas' head of plantation operations, in a recent statement.

Minamas produced over 3 million metric tons of fresh fruit bunches (FFB) and 845,957 metric tons of crude palm oil (CPO) in the 2014/2015 financial year, down from 4.1 million metric tons of FFB and 927,803 metric tons of COP in 2013/2014, in line with declining prices for the products in the global market."
6q-X1fnb;182;Media report;https://money.kompas.com/read/2020/04/21/212339326/layani-pasar-kalimantan-minamas-plantation-luncurkan-minyak-goreng-merek-alif;uploads/4-serving-kalimantan-market-minamas-plantation-launches-alif-cooking-oil.pdf;Serving Kalimantan Market,  Minamas Plantation Launches Alif Cooking Oil;2020-04-21;;;;;;
qFeQ_0CZ;182;Media report;https://industri.kontan.co.id/news/minamas-plantation-genjot-replanting-sawit-hingga-garap-pasar-minyak-goreng;uploads/5-minamas-plantation-is-boosting-palm-oil-replanting-to-work-on-the-cooking-oil-market.pdf;Minamas Plantation is boosting palm oil replanting to work on the cooking oil market;2019-06-19;;;;;;"PT Minamas Plantation continues to boost its oil palm replanting program . As of June 2019, Minamas has succeeded in rejuvenating an area of ​​55,000 hectares (ha) of its oil palm plantations. The replanting realization is equivalent to 43.5% of the total land area that urgently needs to be rejuvenated, covering an area of ​​97,440 ha.

Head of Plantation Upstream Indonesia Minamas Plantation Shamsuddin Muhammad said, the rejuvenation of the company's palm oil has been started since 2010 and then boosted since 2012 and continues to be improved to accelerate the company's rejuvenation program."
Z4qyv1Ae;182;Media report;https://economy.okezone.com/read/2009/07/09/277/237351/minamas-bangun-pabrik-penyulingan-cpo;uploads/6-minamas-builds-cpo-refining-factory_-okezone-economy.pdf;Minamas Builds CPO Refining Factory;2009-07-09;;;;;;
